Time,Second,Number of Sorts,State
12:20:17,1,337,
12:20:18,2,140580,
12:20:19,3,164231,
12:20:20,4,180509,
12:20:21,5,180408,
12:20:22,6,180220,
12:20:23,7,180432,
12:20:24,8,180503,
12:20:25,9,180457,
12:20:26,10,180486,
12:20:27,11,143002,
12:20:28,12,172526,
12:20:29,13,180247,
12:20:30,14,180633,
12:20:31,15,180146,
12:20:32,16,180348,START
12:20:33,17,166840,
12:20:34,18,168055,
12:20:35,19,163325,
12:20:36,20,168473,
12:20:37,21,168671,
12:20:38,22,168886,
12:20:39,23,168792,
12:20:40,24,168929,
12:20:41,25,168987,
12:20:42,26,126528,COMPLETE
12:20:43,27,89030,
12:20:44,28,130032,
12:20:45,29,136099,
12:20:46,30,162541,
12:20:47,31,179215,
12:20:48,32,179833,
12:20:49,33,179816,
12:20:50,34,179822,
12:20:51,35,179856,
