Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,3,78,6424,1091379200,0,4,0,836.7619187042517,671393677,11484,0,0,32768,8,14798,275949
2,No,2,2,95,6587,1091379200,0,4,0,819.3486396355353,674213991,11130,0,0,32768,8,18177,277425
3,Yes,2,3,125,6138,1091379200,0,4,0,852.1709704971476,653296255,10701,0,0,32768,8,13956,277033
4,No,2,3,78,6609,1091379200,0,4,0,814.6156996669695,672456556,11218,0,0,32768,8,16494,276356
5,Yes,2,3,62,6322,1091379200,0,4,0,850.0167304953316,671194607,10461,0,0,32768,8,12465,275758
6,Yes,4,3,209,6847,1091379200,0,6,0,809.4485914669784,692270860,8646,0,0,32768,8,23436,289595
7,Yes,3,3,24,6486,1091379200,0,5,0,837.5168187567484,678490308,11245,0,0,32768,8,20627,279123
8,No,2,3,50,6610,1091379200,0,4,0,813.2956488572726,671468186,11616,0,0,32768,8,17628,276145
9,Yes,2,3,78,6411,1091379200,0,4,0,837.0750936329588,670284792,10857,0,0,32768,8,15226,275496
10,Yes,2,3,205,6603,1091379200,0,4,0,815.5415890909092,672609453,10751,0,0,32768,8,18584,276192
