Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,4,27,5052,1091379200,0,3,0,373.88826941362913,235711166,72437,0,0,32768,8,429,266515
2,Yes,1,2,14,4714,1091379200,0,3,0,378.3321052631579,222625434,81366,0,0,32768,8,556,266534
3,Yes,1,3,28,4651,1091379200,0,3,0,381.9742581755594,221714712,81906,0,0,32768,8,599,266556
4,Yes,1,3,13,4696,1091379200,0,3,0,381.223515874707,223422913,81017,0,0,32768,8,455,266531
5,Yes,1,3,14,4589,1091379200,0,3,0,388.37216746620146,222422013,81380,0,0,32768,8,510,266512
6,Yes,1,3,13,4612,1091379200,0,3,0,386.5110939466262,222466372,81233,0,0,32768,8,515,266532
7,Yes,1,2,15,4815,1091379200,0,3,0,370.1269478495741,222465293,81263,0,0,32768,8,584,266521
8,Yes,1,3,30,4789,1091379200,0,3,0,372.37220392812367,222559339,80822,0,0,32768,8,832,266517
9,Yes,1,3,15,4738,1091379200,0,3,0,378.14922407602955,223604740,80127,0,0,32768,8,669,266524
10,Yes,1,3,14,4818,1091379200,0,3,0,371.8293067497404,223582432,80050,0,0,32768,8,562,266519
