Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,4,40,39,32937,4312604672,0,6,0,814.7910474511353,3350310226,315998,0,0,3338477568,815058,54990,1137845
2,Yes,3,39,31,30307,4312604672,0,5,0,818.76174415224,3097572675,320359,0,0,3087446016,753771,29769,1076086
3,Yes,4,40,74,36195,4312604672,0,6,0,790.1182685658968,3570628340,268881,0,0,3558834176,868856,195218,1146965
4,Yes,5,38,51,36349,4312604672,0,7,0,802.8276949684669,3643722118,257236,0,0,3630727168,886408,179078,1153815
5,No,3,40,25,31754,4312604672,0,5,0,841.5208430346219,3335786618,262393,0,0,3325931520,811995,31739,1076533
6,Yes,4,39,46,33411,4312604672,0,6,0,830.5299820208558,3464343410,287098,0,0,3451543552,842662,42572,1136304
7,Yes,3,39,71,34836,4312604672,0,5,0,852.8478287208667,3709355853,236558,0,0,3698388992,902927,36658,1144322
8,No,2,33,61,32206,4312604672,0,4,0,852.97356839586,3430127469,240144,0,0,3420717056,835136,21864,1076160
9,Yes,5,33,64,38217,4312604672,0,7,0,829.3809090718626,3958422643,185660,0,0,3945492480,963255,176409,1160142
10,Yes,5,35,34,39219,4312604672,0,7,0,816.3597315230706,3998317529,178722,0,0,3985731584,973079,240455,1162425
