Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,41,33,44383,8607571968,0,6,0,657.191567543187,3642436151,1307637,0,0,3621814272,884232,82624,2198954
2,No,4,35,46,46001,8607571968,0,6,0,697.5217489448723,4007573179,1219122,0,0,3986501632,973267,55560,2199257
3,No,5,35,104,46536,8607571968,0,7,0,652.6342296294704,3793305603,1273042,0,0,3771359232,920742,238851,2203839
4,No,4,35,24,45807,8607571968,0,6,0,680.5679218736345,3893656955,1251623,0,0,3873034240,945565,55465,2203050
5,Yes,5,34,43,48362,8607571968,0,7,0,674.1526838271809,4072343927,1214439,0,0,4049764352,988712,154269,2212174
6,Yes,3,40,54,42574,8607571968,0,5,0,653.6937794705411,3475314018,1288945,0,0,3455967232,843742,87963,2136309
7,Yes,4,41,38,43650,8607571968,0,6,0,649.406892155289,3539785735,1327568,0,0,3518644224,859044,80783,2193900
8,Yes,4,40,54,44743,8607571968,0,6,0,661.1168479967788,3694025897,1298192,0,0,3672662016,896646,107389,2201795
9,Yes,4,42,53,44923,8607571968,0,6,0,669.8802634522403,3757899603,1275334,0,0,3737337856,912436,86158,2194652
10,Yes,4,40,40,44257,8607571968,0,6,0,647.7360170070334,3579905523,1316286,0,0,3558797312,868847,134858,2192782
