Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,31,69,10095,1091379200,0,4,0,899.5103696343401,1131371687,11316,0,0,1128787968,275583,28252,288352
2,Yes,2,32,875,11054,1091379200,0,4,0,836.953987298131,1152900998,10714,0,0,1150373888,280853,25253,292594
3,Yes,3,31,888,10899,1091379200,0,5,0,847.9078454177402,1151670424,11551,0,0,1148960768,280508,28342,293687
4,Yes,2,31,860,11073,1091379200,0,4,0,843.5632443397935,1164115810,8715,0,0,1161568256,283586,23357,293574
5,Yes,3,31,56,10342,1091379200,0,5,0,887.0249620793328,1143051914,11965,0,0,1140146176,278356,28715,292279
6,No,2,31,349,10482,1091379200,0,4,0,871.0264456989762,1137674815,11791,0,0,1135153152,277137,22194,290074
7,No,3,31,524,10783,1091379200,0,5,0,870.0278325892857,1169105023,9610,0,0,1166278656,284736,26322,296360
8,Yes,3,32,861,10993,1091379200,0,5,0,844.3331382173159,1156629557,10808,0,0,1153880064,281709,27928,294326
9,Yes,2,32,830,10649,1091379200,0,4,0,850.2076481115192,1128119467,11881,0,0,1125617664,274809,21827,287565
10,No,3,31,323,10427,1091379200,0,5,0,875.4560669488264,1137442775,11775,0,0,1134698496,277026,27540,290703
